member_name,committee_sector
tina smith,Financial Services
raphael warnock,Financial Services
andy kim,Financial Services
ruben gallego,Financial Services
lisa blunt rochester,Financial Services
angela alsobrooks,Financial Services
thom tillis,Unknown
pete ricketts,Unknown
tim scott,Unknown
lisa blunt rochester,Unknown
michael “mike” crapo,Unknown
cynthia lummis,Unknown
catherine cortez masto,Unknown
mark warner,Unknown
andy kim,Unknown
ruben gallego,Unknown
angela alsobrooks,Unknown
michael “mike” crapo,Industrials
bernie moreno,Industrials
dave mccormick,Industrials
tim scott,Industrials
tina smith,Industrials
ruben gallego,Industrials
lisa blunt rochester,Industrials
angela alsobrooks,Industrials
dave mccormick,Unknown
bernie moreno,Unknown
ted cruz,Communication Services
john thune,Communication Services
roger wicker,Communication Services
dan sullivan,Communication Services
marsha blackburn,Communication Services
todd young,Communication Services
ted budd,Communication Services
eric schmitt,Communication Services
john curtis,Communication Services
bernie moreno,Communication Services
tim sheehy,Communication Services
cynthia lummis,Communication Services
maria cantwell,Communication Services
amy klobuchar,Communication Services
edward “ed” markey,Communication Services
tammy baldwin,Communication Services
tammy duckworth,Communication Services
jacky rosen,Communication Services
ben ray luján,Communication Services
john hickenlooper,Communication Services
john fetterman,Communication Services
andy kim,Communication Services
lisa blunt rochester,Communication Services
ted cruz,Unknown
john hickenlooper,Unknown
maria cantwell,Unknown
marsha blackburn,Unknown
todd young,Unknown
john curtis,Unknown
edward “ed” markey,Unknown
todd young,Industrials
john thune,Industrials
ted cruz,Industrials
amy klobuchar,Industrials
edward “ed” markey,Industrials
ben ray luján,Industrials
andy kim,Industrials
maria cantwell,Industrials
mike lee,Energy
john barrasso,Energy
james risch,Energy
steve daines,Energy
tom cotton,Energy
dave mccormick,Energy
bill cassidy,Energy
lisa murkowski,Energy
martin heinrich,Energy
ron wyden,Energy
maria cantwell,Energy
mazie hirono,Energy
angus king,Energy
catherine cortez masto,Energy
john hickenlooper,Energy
alejandro “alex” padilla,Energy
ruben gallego,Energy
john barrasso,Unknown
james risch,Unknown
bill cassidy,Unknown
mike lee,Unknown
ron wyden,Unknown
alejandro “alex” padilla,Unknown
steve daines,Unknown
jon husted,Unknown
sheldon whitehouse,Unknown
bernard “bernie” sanders,Unknown
cynthia lummis,Industrials
john curtis,Industrials
pete ricketts,Industrials
jeff merkley,Industrials
alejandro “alex” padilla,Industrials
adam schiff,Industrials
sheldon whitehouse,Industrials
john cornyn,Unknown
james lankford,Unknown
ron johnson,Unknown
margaret “maggie” hassan,Unknown
james lankford,Energy
john cornyn,Energy
tim scott,Energy
michael “mike” crapo,Energy
margaret “maggie” hassan,Energy
todd young,Healthcare
john thune,Healthcare
tim scott,Healthcare
bill cassidy,Healthcare
james lankford,Healthcare
steve daines,Healthcare
john barrasso,Healthcare
ron johnson,Healthcare
thom tillis,Healthcare
marsha blackburn,Healthcare
roger marshall,Healthcare
michael “mike” crapo,Healthcare
margaret “maggie” hassan,Healthcare
mark warner,Healthcare
sheldon whitehouse,Healthcare
catherine cortez masto,Healthcare
elizabeth warren,Healthcare
bernard “bernie” sanders,Healthcare
tina smith,Healthcare
ben ray luján,Healthcare
raphael warnock,Healthcare
peter welch,Healthcare
ron wyden,Healthcare
rand paul,Unknown
ted cruz,Healthcare
rand paul,Healthcare
john cornyn,Healthcare
james risch,Healthcare
cory booker,Healthcare
christopher coons,Healthcare
chris van hollen,Healthcare
joshua “josh” hawley,Healthcare
tommy tuberville,Healthcare
jim banks,Healthcare
jon husted,Healthcare
ashley moody,Healthcare
timothy “tim” kaine,Healthcare
john hickenlooper,Healthcare
edward “ed” markey,Healthcare
andy kim,Healthcare
lisa blunt rochester,Healthcare
angela alsobrooks,Healthcare
ashley moody,Unknown
joshua “josh” hawley,Unknown
charles “chuck” schumer,Unknown
